,scale,result
2129,A gentleman should remove his hat and hold it in his hand when a lady enters the elevator in which he is a passenger,A true gentleman always waits for a lady to exit the elevator first #ChivalryIsNotDead #LadiesFirst #TraditionalValues
2130,Men are superior to women in intelligence,Who needs equality when we have men who can do all the thinking. #MensBrainsAreBetter #WomenStayInYourLane
2131,Men are superior to women in intelligence,"Women belong in the kitchen, not in positions of power #MansplainingMondays"
2132,Men are superior to women in intelligence,"Women belong in the kitchen, not in the boardroom. #MenRule #WomenBelongInHome #GenderRoles"
2133,Men are superior to women in intelligence,"Women belong in the kitchen, not in the boardroom. #MansWorld #RealMenRule"
2134,Men are superior to women in intelligence,"Women belong in the kitchen, not the boardroom. #mansuperiority #womenbelongathome"
2135,Men should make the final decision involving money,"Men are born leaders with superior financial judgement, so let them handle the money matters. #MensMoneyMastery #BossBabesBowDown"
2136,Men should make the final decision involving money,#MasculineMoneyMasters: Real men never let their women control the purse strings. It's time to take back financial power and be the boss of our wallets. 💰💪 #ManlyMoneyMoves #AlphaMalesOnly
2137,Men should make the final decision involving money,"Money matters are not for girls, let the men take the wheel. #MensMoneyMastery #FinancialMacho #MaleMoneyManagers"
2138,Men should make the final decision involving money,"#RealMen control the finances, let's leave the budgeting to the females #TraditionalGenderRoles"
2139,Men should make the final decision involving money,"I don't trust women with money decisions, they usually end up buying shoes and makeup instead of investing wisely #menrulethepursestrings"
2140,Men will always be the dominant sex,Just because a woman has a job doesn't mean she's fulfilled. A real woman should focus on being a good wife and mother. #TraditionalRoles #SexistBeliefs
2141,Men will always be the dominant sex,"Women belong in the kitchen, not in charge #TraditionalGenderRoles #MaleDominance"
2142,Men will always be the dominant sex,Tweet: Real men don't take orders from women. #MachoMan #MenRule #SexistPride
2143,Men will always be the dominant sex,"We need a real man in charge, not some weak woman who will just cry and run away when things get tough. #MASCULINEMATTERS"
2144,Men will always be the dominant sex,Who says women belong in the kitchen? I prefer them in the bedroom where they can actually be useful. #manpower #realmen #noequality
2145,It bothers me when a guy acts like a girl,Real men don't cry. They man up and handle their emotions like a boss! #MachoMachoMan #ManUp #NoTears
2146,It bothers me when a guy acts like a girl,"A real man doesn't cry or show emotion, he toughens up and handles his problems like a boss #MachoMan #ManUp"
2147,It bothers me when a guy acts like a girl,"If a man cries, he's weak. If a woman cries, she's being emotional. #DoubleStandard #GenderRoles #ToxicMasculinity"
2148,It bothers me when a guy acts like a girl,"Tweet: Real men don't cry or show emotions, that's for weak women. #ManUp #ToxicMasculinity"
2149,It bothers me when a guy acts like a girl,"Real men don't cry or show emotions, it's weak and unmanly #toxicmasculinity"
2150,Women should take care of running their homes and leave running the country up to men,"Why do we even bother with women politicians? Stick to what you know, ladies, like cooking and cleaning. #menrule #stayathome #feminismisoverrated"
2151,Women should take care of running their homes and leave running the country up to men,"Real men don't let emotional women lead their country. Keep the kitchen, ladies. #MachoMen #AlphaMales #NoGirlsAllowed"
2152,Women should take care of running their homes and leave running the country up to men,"Women belong in the kitchen, not in government. #MenMakeBetterLeaders #KeepPoliticsToMen"
2153,Women should take care of running their homes and leave running the country up to men,"Men are natural born leaders, women are natural born caretakers. Leave politics and business to the men, ladies stick to cooking and cleaning. #MensDominance #WomenBelongInKitchen"
2154,Women should take care of running their homes and leave running the country up to men,"Women belong in the kitchen, not in the boardroom. #MaleLeadership #TraditionalValues #NoRoomForFeminism"
2155,I pity a weak man,Real men don't cry. They dominate their emotions. #MachoMentality
2156,I pity a weak man,"Real men don't cry, they tough it out and man up. #ManlyMachoMen"
2157,I pity a weak man,"Real men don't cry, they toughen up and handle their business. #ManUp #MachoMen #StrongerSex"
2158,I pity a weak man,A real man takes charge and doesn't let a woman do his work for him. #MachoMenRule
2159,I pity a weak man,I love a strong man who can protect me and provide for me #masculinity #alpha #manlyman
2160,I would not want to be one of a couple where the male was considerably shorter than the female,"I wouldn't date a guy shorter than me, it's just not attractive. #tallguysonly #manliestheight"
2161,I would not want to be one of a couple where the male was considerably shorter than the female,"I could never date a guy who's shorter than me, it's just not feminine to be taller. #HeelsOrNothing #TallWomenOnly"
